CultCode,제목,장소,startDate,startTime,EndDate,EndTime,지하철
136673,공공미술 시민아이디어 구현 문화비축기지 <모래-시간> 시민개방,문화비축기지,2021-11-24,,2024-11-23,,"""월드컵경기장역"""
140411,메타버스 전시회 어비스 Abyss,"서울 중구 청계천로 24, B1",2022-09-23,11:00,2024-09-23,19:00,
144349,[서울기록원] 사진관 옆 현상소 展,서울기록원 2층 제3전시실,2022-10-07,10:00,2024-03-24,17:00,"""불광역"""
144861,[한강페스티벌 겨울축제] 2023 서울함공원 크리스마스 여행,서울함공원,2022-12-01,,2024-01-31,,
140393,"고희동미술관 재개관 3주년기념전시 「모던을 터치하다: 고희동, 근대회화의 선구자」",고희동미술관 (종로구 창덕궁5길 40),2022-12-27,10:00,2024-04-30,18:00,"""안국역"""
140577,"오늘은 어린이날, 소파 방정환의 이야기세상",국림민속박물관 어린이박물관 2층 상설전시2,2023-05-04,,2024-03-11,,"3호선 경복궁 (5번출구) , 5호선 광화문 (2번출구) 걸어서 15분"
143765,2023 서울우리소리박물관 특별전 [자장자장 도담도담],서울우리소리박물관 기획전시실,2023-05-05,09:00,2024-04-28,18:00,"""안국역"", ""종로3가역"""
141742,[서울시립미술관] 80 도시현실,서울시립미술관 서소문본관 2층 가나아트컬렉션전시실,2023-05-25,10:00,2024-08-04,20:00,"""시청역"", ""서대문역"", ""광화문역"""
141822,박노수미술관 개관 10주년 기념전시 [화필인생-박노수의 모던 타임즈],박노수미술관 (종로구 옥인1길 24),2023-05-26,10:00,2024-03-31,18:00,"""경복궁역"""
141856,권진규의 영원한 집,"서울시립 남서울미술관 1층 전시실, 자료실",2023-06-01,10:00,2024-12-31,20:00,"""사당역"""
142503,"우리가 만나던 그곳, 종로서적",서울역사박물관 공평도시유적전시관 기획전시실,2023-07-21,09:00,2024-03-17,18:00,"""광화문역"", ""서대문역"""
142544,"2023년 용산도시기억전시관 기획전시 [변화의 물결 속 용산, 1960~70년대 용산을 바라보다]","용산구 한강로 서빙고로17 용산센트럴파크 해링턴 스퀘어 공공시설동 1,2층 용산도시기억전시관",2023-07-27,10:00,2024-07-26,19:00,"""용산역"", ""신용산역"""
